term,definition,link
unit test,"A test that checks one small piece of code — usually a single function — completely on its own, with no real database, network, or other components involved.",
integration test,"A test that checks multiple parts of a system working together for real, like your code talking to a real database or two services calling each other, instead of testing any one piece in isolation.",
end-to-end test,"A test that drives an app exactly like a real user would, clicking and typing through a full flow from start to finish, rather than checking just one function or one call.",
test pyramid,"A shape for planning your test suite: lots of fast unit tests at the bottom, fewer integration tests in the middle, and only a handful of slow end-to-end tests at the top — flip that ratio and the whole suite gets slow.",
Arrange,"The first step of the Arrange-Act-Assert pattern: setting up whatever data or state a test needs before running the code being tested.",
Act,"The second step of the Arrange-Act-Assert pattern: actually running the code being tested, after Arrange has set up the data it needs.",
Assert,"The third step of the Arrange-Act-Assert pattern: checking that the result from the Act step is actually correct.",
AAA,"Short for Arrange-Act-Assert, a standard pattern for structuring a test: first set up the data (Arrange), then run the code (Act), then check the result (Assert), always in that order.",
flaky test,"A test that sometimes passes and sometimes fails on the exact same code, with nothing actually changed — usually caused by timing issues, shared state, or a race condition, and it erodes trust in the whole suite.",
race condition,"A bug that shows up when the result depends on the exact timing of two things happening at once — for example two parts of the code both racing to read and update the same piece of data, where whichever one finishes first quietly changes the outcome. It's one of the most common causes of a flaky test.",
stub,"A stand-in for a real dependency that just returns a fixed, canned answer whenever it's called, without checking how or whether it was used.",
mock,"A stand-in for a real dependency that, beyond returning a canned answer like a stub, also checks that it was actually called the right way — e.g. with the right arguments, the right number of times.",
fake,"A full, working, simplified version of a real dependency — for example an in-memory database instead of a real one — that behaves like the real thing but is easier and faster to test against.",
spy,"A stand-in for a real dependency that records the real calls that happened to it, so a test can later check what actually got called and how.",
test double,"The umbrella term for any stand-in swapped in for a real dependency during a test — a stub, mock, fake, or spy are each a different kind of test double, picked depending on whether the test just needs a canned answer, needs to check how it was called, or needs a fully working simplified version.",
mocking,"Swapping a real dependency for a stub, mock, fake, or spy in a test, usually to isolate the code under test from something slow, flaky, or hard to control — overusing it can hide real bugs by testing your assumptions instead of the real system.",
code coverage,"A percentage measuring which lines of code actually ran during your test suite — it only proves a line executed, not that its result was ever properly checked, so 100% coverage doesn't guarantee your tests are actually good.",
boundary case,"An input sitting right at the edge of what a piece of code handles — like zero, an empty list, or a negative number — where bugs love to hide because the typical 'happy path' testing skips right over them.",
happy path,"The normal, expected flow through a piece of code where everything works and no errors occur — the case that's easiest to test, but not the only one worth testing.",
TDD,"Short for Test-Driven Development: a way of writing code where you write a failing test first, then write just enough code to make it pass, then clean the code up — the Red-Green-Refactor cycle, repeated.",https://en.wikipedia.org/wiki/Test-driven_development
Red-Green-Refactor,"The three-step loop at the heart of TDD: Red means your new test is failing, Green means you've made it pass, and Refactor means cleaning up the code afterward without changing its behavior.",
contract test,"A test that checks a service's API still matches what the other services or apps that depend on it (its 'consumers') actually expect — catching a breaking change before it reaches production, without needing a full end-to-end test.",
browser-driven test,"A test run through tools like Playwright or Cypress that controls a real browser — clicking buttons, filling forms — exactly like a real user would, catching real UI bugs other test types would miss.",
API test,"A test that sends a real HTTP request straight to a service and checks the response — its status code and body — without needing a browser at all.",
load test,"A test that simulates many users hitting a system at once, to see how it holds up under pressure and find its breaking point before real traffic does.",
security testing,"Testing aimed at finding vulnerabilities before an attacker does — for example checking for SQL injection or an endpoint that should require authentication but doesn't.",
accessibility testing,"Testing that checks whether an app can actually be used by everyone — for example whether a screen reader can navigate it, and whether text has enough color contrast to read.",
regression test,"An old test that gets re-run after every new change, specifically to catch something that used to work quietly breaking again.",
CI pipeline,"Short for Continuous Integration pipeline: automation that runs your test suite on every push to the codebase, and blocks a bad merge automatically if anything fails, so no one has to remember to test by hand.",
property-based testing,"A style of testing where, instead of checking one fixed example, you generate many random inputs and check that a general rule always holds true across all of them — giving much wider coverage than a single example-based test.",
mutation testing,"A technique that intentionally creates many slightly-broken copies of your code (called mutants) and checks whether your test suite notices each one — a mutant that survives without being caught reveals a test that passes but doesn't actually check anything.",
mutant,"In mutation testing, one deliberately broken copy of your code, created to check whether your test suite actually notices the break — a mutant that survives means a weak test.",
SQL injection,"A security attack where an attacker sneaks malicious code into a text input so it gets run as part of a database query, potentially letting them read or change data they shouldn't have access to.",https://en.wikipedia.org/wiki/SQL_injection
