id,title,description,min_level,section,image,section_image
1,What Testing Actually Buys You,Confidence to change code without breaking it — the real reason tests exist.,1,Why Test at All,unit1.png,
2,The Real Cost of Not Testing,How untested code quietly gets more expensive to change over time.,1,Why Test at All,unit2.png,
3,Unit Tests,Testing one small piece of logic in complete isolation.,1,The Testing Pyramid,unit3.png,
4,Integration Tests,Testing that separate pieces actually work correctly together.,1,The Testing Pyramid,unit4.png,
5,End-to-End Tests,"Testing a real user flow through the whole system, start to finish.",1,The Testing Pyramid,unit5.png,
6,Balancing the Pyramid,"Why you want lots of unit tests, fewer integration tests, and fewer still end-to-end tests.",1,The Testing Pyramid,unit6.png,
7,"Arrange, Act, Assert",The simple three-part shape almost every good test follows.,1,Writing Good Unit Tests,unit7.png,
8,"What Makes a Test ""Good""","Fast, isolated, and repeatable — the traits that make a test worth keeping.",1,Writing Good Unit Tests,unit8.png,
9,Naming Tests So They Explain Themselves,A good test name tells you what broke before you even open the file.,1,Writing Good Unit Tests,unit9.png,
10,Choosing the Right Assertion,Picking the assertion that actually explains why a test failed.,1,Writing Good Unit Tests,unit10.png,
11,"Mocks, Stubs, Fakes, and Spies","Four different stand-ins for a real dependency, and what each one is actually for.",1,Test Doubles,unit11.png,
12,"When Mocking Helps, and When It Hurts",Over-mocking can make a test pass while the real system is broken.,1,Test Doubles,unit12.png,
13,What Code Coverage Really Measures,"A number that tells you what ran, not whether it was tested well.",1,Coverage and Quality,unit13.png,
14,Testing Edge Cases and Boundaries,"The empty list, the zero, the off-by-one — where bugs actually hide.",1,Coverage and Quality,unit14.png,
15,"Testing Failure Paths, Not Just Success","What happens when the network call fails, not just when it succeeds.",1,Coverage and Quality,unit15.png,
16,"Red, Green, Refactor","Writing a failing test first, making it pass, then cleaning up — the TDD loop.",1,Test-Driven Development,unit16.png,
17,What TDD Is Actually Good and Bad At,"Where it genuinely helps design, and where it's more ceremony than value.",1,Test-Driven Development,unit17.png,
18,Testing Against a Real Database,Why some tests are worth the slowdown of hitting a real database.,1,Integration and System Testing,unit18.png,
19,Testing HTTP APIs,"Verifying an API actually behaves correctly from the outside, as a client would see it.",1,Integration and System Testing,unit19.png,
20,Contract Testing Between Services,Making sure two services still agree on their API without a full end-to-end test.,1,Integration and System Testing,unit20.png,
21,Browser-Driven End-to-End Tests,Simulating a real user clicking through your actual application.,1,End-to-End and UI Testing,unit21.png,
22,Flaky Tests: Causes and Fixes,Why a test that passes sometimes is often worse than a test that never runs.,1,End-to-End and UI Testing,unit22.png,
23,Performance and Load Testing,"Making sure your system stays fast and stable under real traffic, not just correct.",1,Beyond Functional Correctness,unit23.png,
24,Basic Security Testing,Catching the most common vulnerabilities before an attacker does.,1,Beyond Functional Correctness,unit24.png,
25,Basic Accessibility Testing,Making sure the app actually works for people using assistive technology.,1,Beyond Functional Correctness,unit25.png,
26,Regression Testing,Making sure yesterday's bug fix doesn't quietly come back tomorrow.,1,Process and Practice,unit26.png,
27,Running Tests in CI/CD,"Catching a broken build automatically, before it ever reaches production.",1,Process and Practice,unit27.png,
28,Managing Test Data,"Keeping the data your tests run against realistic, isolated, and repeatable.",1,Process and Practice,unit28.png,
29,Writing a Test With Every Bug Fix,Turning every bug you find into a permanent guard against it coming back.,1,Process and Practice,unit29.png,
30,Property-Based Testing,"Testing a rule that should always hold, across hundreds of random inputs, instead of one example at a time.",1,Leveling Up,unit30.png,
31,Mutation Testing,Deliberately breaking your code to check whether your tests actually notice.,1,Leveling Up,unit31.png,
32,When Not to Write a Test,Recognizing the rare cases where a test isn't worth the cost of maintaining it.,1,Leveling Up,unit32.png,
